"3 BHK Semifurnished Flat in Kadavanthra, 1555 sqft","3 BHK semifurnished flat 1555 sqft with all facilities in Kadavanthara. Good road access. 3/ 16 floors. Branded builder, 10 plus years. Servent bathroom available  Price: 86 Lakhs  700/7699",Kochi,Kadavanthra,3 Bds , 3 Ba , 1555 ft2,"₹ 86,00,000"
4 Cent and 5000 Sqft 8 BHK House.,"Fortkochi Centre. 3 Floor Upper Ground & 1 Floor Lower Ground. 8 Bedrooms 8 Bathrooms 3Kitchen 3 Hall. It Is A Perfect Property To Start Any Business(Beauty Parlour, Massage Centre, Hostel, Medical Clinic etc.) More Residential Properties Available At Fortkochi. Contact (94963)_(42191)",Kochi,Fort Kochi,4+ Bds , 4+ Ba , 5000 ft2,"₹ 1,85,00,000"
2BHK FURNISHED FLAT FOR IMMEDIATE SALE  AT MG ROAD KOCHI  40 LAKHS,"Immediate sale one 2BHK both attached flat on the 5th floor.  Corner flat with good ventillation and natural light.  Close to MG road, Kochi, at Dwaraka Junction.   It is furnished with sofa set, dining table, double coat in both rooms, gas stove with connection, cupboards, 3-phase electric connection.   Car parking not provided but paid private parking available  nearby     Heart of the city, reliance super market closeby, Very near to Medical Trust Hospital, DH Ground, backwaters, Metro and South Rly station, Ernakulam Shiva temple,  Rs.40 lakhs is negotiable with genuine buyers.    Ideal for NRIs and corporates for a guest house.   24 hours security, CC TV Camera, both well and water authority water availability.  Serious buyers only need to contact.  Agents with genuine enquiries may be considered.",Kochi,MG Road,2 Bds , 2 Ba , 877 ft2,"₹ 40,00,000"
1BHK  STUDIO FLAT WITHOUT CAR PARKING FOR SALE AT MG ROAD 26 LAKHS,"Immediate sale one 1BHK  attached flat on the 4th floor.  Close to MG road, Kochi, at Woodlands Junction.  It is furnished with sofa set, dining table, double coat , gas stove Two wheeler parking only.  Heart of the city.  Very near to Medical Trust Hospital, General Hospital, DH Ground, backwaters, Metro and South Rly station, Ernakulam Shiva temple,  Rs.26 lakhs only.   Can be used for office and office- cum- residence  Ideal for NRIs and corporates for a guest house.  Only genuine buyers needs to contact.",Kochi,MG Road,1 Bds , 1 Ba , 550 ft2,"₹ 26,00,000"
budgeted Ready to move flats available,2bhk at reasonable rates,Kochi,Bolghatty Island,2 Bds , 2 Ba , 879 ft2,"₹ 41,80,000"
Ready to move 2bhk budget flat,ready to move 2bhk available. 15minutes drive from marine drive,Kochi,Vypin,2 Bds , 2 Ba , 871 ft2,"₹ 40,90,000"
"2 BEDROOM SEMI FURNISHED FLAT FOR SALE FIRST FLOOR NEAR THEVARA,KOCHI.","FOR SALE: 2 BEDROOM WITH ATTACHED BATHROOM 1006 SQ.FT ON FIRST FLOOR OF THREE STORIED SEMI FURNISHED APARTMENT FOR SALE Rs 45,00,000 WITH COVERED CAR PARKING / SECURITY FACILITIES NEAR THEVARA, KOCHI (HEA ID - 1222 ). ONLY GENUINE CLIENTS MAY CONTACT FOR FURTHER DETAILS. NOTE PLEASE: - These ads are posted here as I am the broker. I'm always at your service except for brokerage. WE HAVE CHARGES FOR SITE VISIT AS CONSULTANT / REGISTRATION FEES Minimum Rs 50 per hour onwards.",Kochi,Thevara,2 Bds , 2 Ba , 1005 ft2,"₹ 45,00,000"
Beautiful 4BHK Villa For Sale At Edavanakkad,"Beautiful 4BHK Villa at Edavanakkad  Plot Area : 4.5 cents  Total Built-up Area : 1750 sq. ft.  Location : Near Edavanakkad Panchayath Office  Description:  *Located in beautiful residential colony (Already 15+ units sold)  *4 Bedrooms with Attached Bathrooms  *2 Bedrooms on Ground Floor (Very Rare)  *Large Living & Dining Spaces  *Built according to Vaastu principles  *3 Meter Wide Tar Access Road  *Large Capacity Underground Water Tank  Details :  Flooring : Branded Vitrified Tile flooring with Granite used in Sitout, Stairs and Kitchen slab. Ceramic tiles in Kitchen and Bathroom  Sanitary Fittings : Branded Sanitary fittings  Wood Works : Hardwood doors and windows. Front door and windows polished, rest wood paint finish.  Kitchen : Granite counter-top, wooden cabinetry below counter and ceramic tiles upto 7 ft. height  Just 300 metres from Vypin - Cherai Highway  Attractive benefits under Pradhan Mantri Awas Yojana*   Call Now for Floor Plans, Brochure , Photos",Kochi,Vypin,4 Bds , 4 Ba , 1750 ft2,"₹ 57,50,000"
Kadavanthra galaxy,Kadavanthra galaxy,Kochi,Kadavanthra,3 Bds , 2 Ba , 1302 ft2,"₹ 50,00,000"
"House at Chembnoda village, Koyilandy Taluk, Kozhikode district","Property Code : 1045444  Asset Schedule  Property ID  :  UBINMLRKKD1924    All the part and parcel of property admeasuring 37 cents of land with residential house no 3/308 in unsurvey land of Chembnoda village, Koyilandy Taluk, Kozhikode district owned by Mr.K.T.Kuttichan East Thattumkal Thomas kaivasa sthalam West Thannil shesham ente kaivasam ulla 1 acres 50 cent sthalam North Kadanthra Puzha South Chembanoda Poozhithode road",Kochi,Kochi Shipyard,3 Bds , 3 Ba , 16115 ft2,"₹ 30,00,000"
Panamilly Nagar Project 915 sqft Golden Galaxy Dale,2BHK 2Bathroom Semi Furnished Apartment at Panampilly Nagar New Project  Amenities - Galaxy Golden Dale,Kochi,Kadavanthara,2 Bds , 2 Ba , 950 ft2,"₹ 60,00,000"
"Premium Apartment For Sale At RDS Oasis Jawahar Nagar , Kadavanthra.","Premium Apartment For Sale At RDS Oasis Jawahar Nagar , Kadavanthra. Asking price 1.10cr   1760Sqft , 3Bhk , 3athroom , Fully furnished  1 carparking , All amenities.  MORE DETAILS PLEASE CALL 9️⃣5️⃣6️⃣7️⃣8️⃣0️⃣6️⃣8️⃣2️⃣2️⃣   DREAM HOME PROPERTY MANAGEMENT.",Kochi,Kadavanthra,3 Bds , 3 Ba , 1760 ft2,"₹ 1,20,00,000"
1366 SQFT 3BHK APARTMENT FOR SALE NEAR ERNAKULAM SHIVA TEMPLE,"1366sqft 3bhk apartment for sale in ground floor near Ernakulathappan temple, Prime location. close to DH ground, Maharaja's College, and metro station. Covered car parking, maintenance charge ₹ 1700. Asking price ₹ 65L",Kochi,MG Road,3 Bds , 3 Ba , 1366 ft2,"₹ 65,00,000"
"Land and Building at Nelliadka PO, Movvar,Karadka,Mulleria,Kasaragod","Property Code : 1044745  Asset Schedule  Property ID  : UBINMLRKKD8169  All part & parcel of 5 Cents of land & residential building admeasuring 1000 sq ft.at RS No.3/2,D.No.1/256,Karadka Grama Panchayath, Nelliadka PO, Movvar,Karadka,Mulleria,Kasaragod-671543,owned by Mrs.Balagirija, and situated within the following boundaries: East Road North Property of Marco D Souza West Hill South Road",Kochi,Kacheripady,2 Bds , 2 Ba , 1000 ft2,"₹ 16,00,000"
FULLY FURNISHED WATERFRONT 3BHK FLAT FOR SALE,Riviera Retreat is an apartment located on the Thevara Waterfront in Kochi. The apartment is situated close to Ernakulam Junction in Cochin and just an hour drive away from the Cochin International Airport. Our strategic location gives us an edge to bring ease of travel and transit to our customers. Our project offers luxurious apartment bedrooms filled with opulent amenities and exclusive leisure facilities.,Kochi,Thevara,3 Bds , 4 Ba , 1962 ft2,"₹ 1,02,00,000"
"Land and Building at Nileshwar village, Hosdurg Taluk, Kasargode distr","Property Code : 1044738  Asset Schedule  Property ID  : UBINMLRKKD3573  20.00 cents of land with residential building in RS no 700/4 in Nileshwar village, Hosdurg Taluk, Kasargode district in the name of Mr.Padmanabhan V and bounded by following boundaries: East Path way West Road North Road South Property of Sukumari & Thankamani",Kochi,Kacheripady,3 Bds , 3 Ba , 8711 ft2,"₹ 24,00,000"
3BHK APARTMENT FOR SALE NEAR HIGH COURT!!!,# 3 bed + study # Walking distance (0.5km) to Kerala High Court  # 1km to MG Road/ Marine drive # 1600sqft carpet area  # All bedrooms with attached bathrooms # 4 balconies # Spacious work area with servants toilet # 1 covered car park # Small secure community of just 10 apartments. # Privacy with no wall sharing # Only 2 apartments per floor,Kochi,Kacheripady,3 Bds , 3 Ba , 1700 ft2,"₹ 87,00,000"
LUXURY 3BHK APARTMENTS AT GIRINAGAR,"Luxury apartment project in Girinagar Kochi. Own your dream home in Kochi from the most trusted name in town. Buy an apartment in Kalyan Marvella and live in the lap of luxury. New 2 and 3 BHK luxury apartment project at Girinagar, Kochi is nestled in the heart of Ernakulam. These spacious luxury flats with state of the art facilities and innovative safety features will pamper and gratify all your desires for luxury and comfort.",Kochi,Kadavanthara,3 Bds , 3 Ba , 2036 ft2,"₹ 1,48,00,000"
3BHK FLAT FOR SALE AT KADAVANTHRA,"Buy an apartment in Kalyan Marvella and live in the lap of luxury. New 2 and 3 BHK luxury apartment project at Girinagar, Kochi is nestled in the heart of Ernakulam. These spacious luxury flats with state of the art facilities and innovative safety features will pamper and gratify all your desires for luxury and comfort.",Kochi,Kadavanthara,3 Bds , 3 Ba , 1731 ft2,"₹ 1,30,00,000"
Luxury Flat for sale at Kadavanthra,"Meet the best of both worlds with the Grand Cypress. The spacious layouts are conceived to support the trappings of a life of luxury, whilst situated adjoining Panampilly Nagar, one of the most sought-after locations in Kochi.  The generous balconies overlook a park and open spaces – yet another luxury when you consider the prime location at which Grand Cypress is located.  The smaller details in the spatial planning accommodate the needs of a modern family, from work areas to balconies that allow for an inside-outside space to take in the view. Situated adjoining Panampilly Nagar, which is one of the most happening places in Kochi, the spacious apartments are well suited to hosting guests and visitors.",Kochi,Kadavanthra,2 Bds , 3 Ba , 1424 ft2,"₹ 1,20,00,000"
"3BHK for sale in Thevara, Kochi",5 km from south Railway stn 2 km from Thevara college,Kochi,Thevara,3 Bds , 3 Ba , 1290 ft2,"₹ 60,00,000"
Apartments For Sale Near kaloor,* Ready to move project * All major Banks approved project * Offers all luxury amenities,Kochi,Kacheripady,3 Bds , 3 Ba , 1429 ft2,"₹ 95,00,000"
Apartments for sale near Marine Drive,Apartments for sale near Marine Drive                             K-RERA/PRJ/215/2020,Kochi,Vypin,2 Bds , 2 Ba , 871 ft2,"₹ 41,90,000"
PREMIUM DUPLEX APARTMENT FOR SALE,"Meet the best of both worlds with the Grand Cypress. The spacious layouts are conceived to support the trappings of a life of luxury, whilst situated adjoining Panampilly Nagar, one of the most sought-after locations in Kochi. The generous balconies overlook a park and open spaces – yet another luxury when you consider the prime location at which Grand Cypress is located. The smaller details in the spatial planning accommodate the needs of a modern family, from work areas to balconies that allow for an inside-outside space to take in the view. Situated adjoining Panampilly Nagar, which is one of the most happening places in Kochi, the spacious apartments are well suited to hosting guests and visitors.",Kochi,Kadavanthra,4 Bds , 4+ Ba , 2768 ft2,"₹ 2,35,00,000"
"New House 4bhk For Sale At  Eroor ,Vyttila","1700Sqft , 4bhk , 3bathroom , Semifinished New House For Sale at near Eroor , Vyttila .     1km From Vyttila hub",Kochi,Kadavanthra,4 Bds , 3 Ba , 1700 ft2,"₹ 78,00,000"
3 BHK independent house villa Kadavanthara nagar,Independent house villa at Kadavanthara  3 BHK 4.559 Cents Recently Fully renovated  Premium and safe housing community    Call: 808989a0118,Kochi,Kadavanthra,3 Bds , 4 Ba , 2000 ft2,"₹ 1,20,00,000"
Panampilly Nagar New Project Galaxy Golden Dale,3BHK 2Bathroom Semi Furnished Apartment at Panampilly Nagar New Project  Amenities - Galaxy Golden Dale  Indoor  * 24Hrs Backup Electricity * Fire Safety * Intercom  Society  * Amphitheater * CCTV Cameras * Club House * Jogging Track  * Covered Car Parking * Indoor Games *  Jogging Track * Lift  * Landscaped Garden * Play Area * Security Personnel  * Rain Water Harvesting,Kochi,Kadavanthara,3 Bds , 2 Ba , 1211 ft2,"₹ 73,00,000"
"Pourasamithi,kacheripadi,palluruthy",Urgent sale,Kochi,Perumbadappu,2 Bds , 2 Ba , 0000 ft2,"₹ 16,00,000"
4BHK Square Project Villa Kadavanthra,"4 BHK Villa for sale in Kochi. This property is in Kadavanthra, which is a coveted investment location. This tastefully designed 4 BHK unit is among Kochi's best properties.  * Residential villa project with 4 cent sale at  kp vallon road kadavanthra , ,1.36 plus gst  and registeration charges extra  * Just 500 meters from kadavanthra  junction  * Walkable distance to regional sports  center  kadavanthra metro station  * Courtyard open to sky bringing in natural  lighting  * Multiple car park  * Courtyard open to sky bringing in natural  lighting  * Security surveilance cams  * Same villa project with 6 cent 10 cent Availble For Budget and More Details Contact",Kochi,Kadavanthara,4 Bds , 4 Ba , 1650 ft2,"₹ 1,36,00,000"
Regalia New Project J Type Yeskay,"3 BHK Apartment sale at Kadavanthra ,3Bedroom,3 Bathroom 2 Balcony ,newapartment  8850000+ GST TAX Price /-  Amenities - Yeskay Regalia Tower  Society  * Covered Car Parking * Kids Pool * Lift * Party Area * Visitor Parking * Visitor lounge * Security Personnel * Indoor Games* CCTV Cameras  * Health Facilities * Club House * 24Hrs Water Supply  Indoor  *24Hrs Backup Electricity * Fire Safety * Gas Pipeline *  Home Theater* Intercom * Jacuzzi Steam Sauna",Kochi,Kadavanthara,3 Bds , 3 Ba , 1300 ft2,"₹ 88,50,000"
"3BHK Semifurnished Flat in Marine Drive, Ernakulam,2461sqft,","2461sqft, 3BHK Semi furnished Flat, Study Room and  Servent Room extra, 1 parking slot  Price - 3 Crore  700/7933",Kochi,Marine Drive,3 Bds , 3 Ba , 2461 ft2,"₹ 3,00,00,000"
Old home for sale 2.875 cent with lorry access. fort kochi,"Old home for sale 2.875 cent with lorry access.42lakhs, thamaraparambu, fort kochi",Kochi,Amaravathy,2 Bds , 2 Ba , 1800 ft2,"₹ 42,00,000"
3420 SqFt PENTHOUSE AT PANAMPILLY NAGAR 3 BHK,**Call: 8️⃣0️⃣8️⃣9️⃣8️⃣9️⃣0️⃣1️⃣1️⃣8️⃣**  PENTHOUSE in Panampilly Nagar  VVIP Housing Community Uniquely Design Balconies on Three Sides Air Conditioned Bedrooms  Gardening Done on All Balconies  Spacious Property  Perfect Residence for a Nature Lover - Windy and Calming nature of the property - Great Panoramic View which No other properties in Panampilly Nagar offers  3420 SqFt 3 BHK  Open Kitchen Inhouse Garden Panampilly Nagar  **Call: 8️⃣0️⃣8️⃣9️⃣8️⃣9️⃣0️⃣1️⃣1️⃣8️⃣**,Kochi,Panampilly Nagar,3 Bds , 4 Ba , 3420 ft2,"₹ 2,30,00,000"
Contemporary design luxury villa 4 Bhk Kadavanthara vytilla,"Fully Luxury Furnitures and Interior works 4 BHK 10 CENTS  3800 SqFt 4+ Car parking area Cabin House build for Security / Maid Location: Near Elamkulam Metro station, Vytilla ONS003  ₹3.5 Crores (Negotiable price)  Call: 808989a0118",Kochi,Kadavanthra,4 Bds , 4+ Ba , 3800 ft2,"₹ 3,50,00,000"
"3.5 CENT 3,500 SQFT RETURN INCOME BUILDING SALE AT PANAMPILLY NAGAR","3.5 CENT 3,500 SQFT RETURN INCOME BUILDING FOR SALE AT PANAMPILLY NAGAR... ASKING PRICE 1.35 CR, NEGOTIABLE...IF HOSTEL PURPOSE CLIENTS GIVEN RENT 1.5 LACK...",Kochi,Panampilly Nagar,4+ Bds , 4+ Ba , 3500 ft2,"₹ 1,35,00,000"
New 2500 sqft 4 BHK House at Kadavanthra,5.5 Cents original land with 2500 sqft 4 bhk villa for sale at Kadavanthra. Property is located at Chilavannoor road frontage. Newly constructed with quality. Constructed for self purpose. Spacious villa with 5 bathrooms and 3 car parks. Open well and main road frontage. Reasonable pricing.,Kochi,Kadavanthra,4 Bds , 4+ Ba , 2500 ft2,"₹ 2,35,00,000"
"Furnished waterfront flat in Kadavanthra,  Kochi.","Furnished waterfront flat in Kadavanthra,  Kochi.   Well furnished 3273 sqft 3 bed + study room higher floor apartment in Kadavanthara with two designated parking. Price Rs 3.6 cr.  Posted by Sowparnika Properties Pvt. Ltd  ( An independent Real Estate Marketing Entity )  For further details on this property feel free to Call / Whatsapp  MORE IMAGES & INFORMATIONS added on wwwsowparnikapropertiescom with property ID :173649  WE SOLICIT GENUINE ENQUIRY , BROKERS PLEASE DO EXCUSE",Kochi,Kadavanthara,4 Bds , 4 Ba , 3273 ft2,"₹ 3,60,00,000"
Duplex Penthouse 3200 SqFt Vytilla Elamkulam,Penthouse Duplex Apartment  3200 SqFt Area Great View 3 Sided Balcony View Own Car parking Available Building Maintenance done consistently 22 Years Old  ₹1.5 Cr (Negotiable) Call 808989a0118,Kochi,Kadavanthra,3 Bds , 4 Ba , 3200 ft2,"₹ 1,50,00,000"
3BHK house for sale Thoppumpady,"This is a newly constructed property on 2.250 cents land. House is 2 floors with an open plan. First floor is 570sq ft and Second floor is 621 sq ft. House features 3 bedrooms with 3 attached bathrooms. Pergolas for lot of natural lighting. Bedroom 2 features a sliding door to the balcony. All premium quality fittings, this is perfect for a family. Property is only 1 km from Thoppumpady BOT bridge. Compound wall and gate are getting added now. Contact soon before it is gone at Nine Double Four Seven Two Zero Nine Five Four Three- Nazar.",Kochi,Thoppumpady,3 Bds , 3 Ba , 1191 ft2,"₹ 62,00,000"
URGENT SALE TATA TRITVAM MARINE DRIVE KOCHI,"Tata Tritvam in Marine Drive, Kochi by Tata Realty And Infrastructure Builders is a residential project. The project offers Apartment with perfect combination of contemporary architecture and features to provide comfortable living.  The Apartment are of the following configurations: 3BHK, 4BHK and 5BHK.  The size of the Apartment ranges in between 203.27 Sq. mt and 436.64 Sq. mt  Tata Tritvam price ranges from 1.9 cr  Tata Tritvam offers facilities such as Gymnasium and Lift.It also has amenities like Lawn tennis court and Swimming pool. It also offers Car parking.  The Apartment are Vastu complaint.  Bank loan approved from State Bank of India, State Bank of Mysore, AXIS Bank and LIC Housing Finance Ltd.   It is a ready to move project with possession offered in Oct, 2016.  The project is spread over a total area of 8.44 acres of land. Tata Tritvam has a total of 6 towers. The construction is of 25 floors. An accommodation of 572 units has been provided.",Kochi,Marine Drive,3 Bds , 4 Ba , 2286 ft2,"₹ 1,82,00,000"
URGENT SALE 6000SQFT APARRMTNET IN DLF RIVERSIDE,Dlf riverside - Is an exclusive waterfront property on 5.15 acres on the banks of chilavanoor river.,Kochi,Kadavanthara,4 Bds , 4 Ba , 6000 ft2,"₹ 4,00,00,000"
House for sale,Ready house,Kochi,Kappalandimukku,3 Bds , 2 Ba , 830 ft2,"₹ 45,00,000"
